STATION_CODE,STATION_NAME,OBSERVED_VALUE,YEAR_MEASURED,ORDER,ENCODER,DATE_LAST_UPDATED
,20475 / KL-92,978433,,2,,
,20476 / KAL-11,978439,,2,,
,20477 / KAL-3103,978373,,2,,
,20478 / KAL-3107,978325,,2,,
,20479 / KAL-21,978338,,2,,
,20480 / KAL-3126,978389,,2,,
,20481 / RZL-4233,978387,,2,,
,20482 / RZL-39,978321,,2,,
,20483 / RZ -170,978279,,2,,
,20484 / LAG-3084,978361,,2,,
,20485 / LAG-3063,978378,,2,,
,20486 / LAG-3072,978320,,2,,
,20487 / LAG-3108,978286,,2,,
,20488 / LAG-3119,978302,,2,,
,20489 / LAG-52,978355,,2,,
,20490 / LAG-3127,978324,,2,,
,20491 / LA GS-2018,978316,,2,,
,20492 / LAG-3150,978307,,2,,
,20493 / LA GS-2020,978334,,2,,
,20494 / LA-GS 2021,978332,,2,,
,20495 / LAG 3148,978371,,2,,
,20496 / LAG 3186,978368,,2,,
,20497 / LAG 3017,978381,,2,,
,20498 / LA 296,978375,,2,,
,20499 / LAG 3097,978364,,2,,
,20500 / LAG 19,978373,,2,,
,20501 / LA-273,978375,,2,,
,20502 / LA GS-2029,978378,,2,,
,20503 / LA-280,978377,,2,,
,20504 / LAG-4034,978362,,2,,
,20505 / IFG-38,978270,,2,,
,20506 / IFU-3086,978250,,2,,
,20507 / IFGS-2003,978263,,2,,
,20508 / IFG-31,978248,,2,,
,20509 / IFG-41,978314,,2,,
,20510 / IFG-43,978450,,2,,
,20511 / IFG-35,978419,,2,,
,20512 / ASI-04,978244,,2,,
,"20513 / IFIFG 33,BLLM 2",978296,,2,,
,20514 / AL-191,978339,,2,,
,20515 / ABY-3482,978342,,2,,
,20516 / AL-GS 2004,978324,,2,,
,20517 / ABY-3062,978335,,2,,
,20518 / AL-208,978330,,2,,
,20519 / AL-213,978332,,2,,
,20520 / ABY 82,978350,,2,,
,20521 / AL-223,978321,,2,,
,20522 / AL-227,978315,,2,,
,20523 / ABY-84,978325,,2,,
,20524 / ABY-3271,978325,,2,,
,20525 / ABY-3152,978333,,2,,
,20526 / AL-246,978326,,2,,
,20527 / AL-236,978326,,2,,
,20528 / ABY-3058,978307,,2,,
,20529 / ABY-3437,978320,,2,,
,20530 / AL-304,978342,,2,Mara,10/30/2018 0:00
,20531 / AL-250,978331,,2,Mara,10/30/2018 0:00
,20532 / BLLM 1-A,978349,,2,Mara,10/30/2018 0:00
,20533 / BLLM 1,978342,,2,Mara,10/30/2018 0:00
,20534 / AL-307,978339,,2,Mara,10/30/2018 0:00
,20535 / AL-277,978339,,2,,
,20536 / AL-GS 2024,978311,,2,,
,20537 / ABY 4073,978340,,2,,
,20538 / BM AP-1,978591,,2,Gravity Section,08/16/2017 0:00
,20539 / BM AP-14,978579,,2,Gravity Section,08/16/2017 0:00
,20540 / BM AP-26,978533,,2,Gravity Section,08/16/2017 0:00
,20541 / BM AP-35,978549,,2,Gravity Section,08/16/2017 0:00
,20542 / BM AP-46,978530,,2,Gravity Section,08/16/2017 0:00
,20543 / BM AP-54,978506,,2,Gravity Section,08/16/2017 0:00
,20544 / BM AP-70,978622,,2,Gravity Section,08/16/2017 0:00
,20545 / BM AP-112,978613,,2,Gravity Section,08/16/2017 0:00
,20546 / BM AP-84,978620,,2,Gravity Section,08/16/2017 0:00
,20547 / BM AP-90,978605,,2,Gravity Section,08/16/2017 0:00
,20548 / BM AP-100,978618,,2,Gravity Section,08/16/2017 0:00
,20549 / APA-24,978536,,2,Gravity Section,08/16/2017 0:00
,20550 / BG-70,978338,,2,,
,20551 / BG-185,978338,,2,,
,20552 / BTG-3483,978352,,2,,
,20553 / BTG-3477,978349,,2,,
,20554 / BTG-3449,978366,,2,,
,20555 / BTG-3431,978338,,2,,
,20556 / BG-217,978320,,2,,
,20557 / BG-229,978266,,2,,
,20558 / BG-234,978330,,2,,
,20559 / BTG 3390,978334,,2,,
,20560 / BG-163,978334,,2,,
,20561 / BTG 3341,978346,,2,,
,20562 / BG-337,978337,,2,,
,20563 / BG-328,978352,,2,,
,20564 / BTG-3319,978354,,2,,
,20565 / BG-301,978361,,2,,
,20566 / BTG-4287,978341,,2,,
,20567 / BTG-4344,978344,,2,,
,20568 / BG-280,978335,,2,,
,20569 / BTG-3326,978347,,2,,
,20570 / BG-151,978330,,2,,
,20571 / BTG-29,978291,,2,,
,20572 / BTG-3009,978268,,2,,
,20573 / BTG-32,978358,,2,,
,20574 / BG-112,978288,,2,,
,20575 / BTG-3372,978312,,2,,
,20576 / BG-102,978334,,2,,
,20577 / BTG-51,978329,,2,,
,20578 / BG-259,978368,,2,,
,20579 / BG-253,978351,,2,,
,20580 / BG-245,978319,,2,,
,20581 / BTG-3311,978368,,2,,
,20582 / BTG-3366,978298,,2,,
,20583 / BTG-50,978290,,2,,
,20584 / CV-127,978369,,2,,
,20585 / CV-138,978312,,2,,
,20586 / CV-149(CVT-3403),978307,,2,,
,20587 / CV-159,978336,,2,,
,20588 / CVT 3097,978366,,2,,
,20589 / CVT 3146,978327,,2,,
,20590 / BLLM NO 9A,978339,,2,,
,20591 / CVT 3035,978329,,2,,
,20592 / CAVITE CITY,978321,,2,,
,20593 / CV-124,978321,,2,,
,20594 / BLLM NO 1,978327,,2,,
,20595 / CV-91,978328,,2,,
,20596 / CV-78,978200,,2,,
,20597 / CV-72,978221,,2,,
,20598 / CV-112,978301,,2,,
,20599 / CV-16,978269,,2,,
,20600 / NS-110,978351,,2,,
,20601 / NS-102,978347,,2,,
,20602 / NS-92,978341,,2,,
,20603 / SMN 3131,978337,,2,,
,20604 / NS-141,978360,,2,,
,20605 / NS-151,978357,,2,,
,20606 / NS-160,978361,,2,,
,20607 / NS-32,978341,,2,,
,20608 / NS-21,978345,,2,,
,20609 / NS-11,978348,,2,,
,20610 / NS-01,978337,,2,,
,20611 / SMN-3043,978366,,2,,
,20612 / SMN-3042,978366,,2,,
,20613 / NS-83,978346,,2,,
,20614 / NS-76,978337,,2,,
,20615 / NS-69,978329,,2,,
,20616 / NS-58,978332,,2,,
,20617 / NS-48,978334,,2,,
,20618 / NS-120,978360,,2,,
,20619 / SRG-3036,978343,,2,,
,20620 / SR-150,978293,,2,,
,20621 / SR-139,978342,,2,,
,20622 / SR-131,978359,,2,,
,20623 / SR-122,978347,,2,,
,20624 / SRGS-2008,978335,,2,,
,20625 / SR-111,978340,,2,,
,20626 / SR-52,978329,,2,,
,20627 / SR-71,978331,,2,,
,20628 / SR-78,978314,,2,,
,20629 / SR-88,978339,,2,,
,20630 / SR-163,978336,,2,,
,20631 / SR-175,978327,,2,,
,20632 / SR-184,978314,,2,,
,20633 / SR-194,978329,,2,,
,20634 / SR-202,978326,,2,,
,20635 / SR-214,978327,,2,,
,20636 / SR-61,978333,,2,,
,20637 / SR-30,978324,,2,,
,20638 / SR-21,978322,,2,,
,20639 / SR-09,978311,,2,,
,20640 / SR-01,978326,,2,,
,20641 / SRG-32,978337,,2,,
,20642 / SRG-31,978326,,2,,
,20643 / PL-174,978246,,2,,
,20644 / PL-243,978255,,2,,
,20645 / PL-270,978246,,2,,
,20646 / PLW-5586,978254,,2,,
,20647 / PL-507,978263,,2,,
,20648 / PL-534,978270,,2,,
,20649 / PL-563,978275,,2,,
,20650 / PLW-55,978275,,2,,
,20651 / PL-349,978220,,2,,
,20652 / PLW-5346,978208,,2,,
,20653 / PLW-5360,978206,,2,,
,20654 / PL-43,978238,,2,,
,20655 / PL-399,978230,,2,,
,20656 / PL-436,978216,,2,,
,20657 / PL-473,978192,,2,,
,20658 / MQ-10,978373,,2,,
,20659 / MQ-20,978362,,2,,
,20660 / MQ-30,978366,,2,,
,20661 / MQ-39,978357,,2,,
,20662 / MQ-51,978327,,2,,
,20663 / MQ-60,978326,,2,,
,20664 / MQ-70,978388,,2,,
,20665 / MRQ-18,978313,,2,,
,20666 / MQ-80,978386,,2,,
,20667 / MQ-90,978390,,2,,
,20668 / MQ-100,978388,,2,,
,20669 / MQ-111,978364,,2,,
,20670 / MRQ-1 (LUZON DATUM),978324,,2,,
,20671 / RM-2,978324,,2,,
,20672 / MR-186,978336,,2,,
,20673 / MR-200,978321,,2,,
,20674 / MR-222,978336,,2,,
,20675 / MR-229,978349,,2,,
,20676 / MR-237,978344,,2,,
,20677 / MR-248,978342,,2,,
,20678 / MR-275,978342,,2,,
,20679 / MR-256,978338,,2,,
,20680 / MR-215,978326,,2,,
,20681 / MR-171,978333,,2,,
,20682 / MR-288,978362,,2,,
,20683 / MR-369,978309,,2,,
,20684 / MR-359,978310,,2,,
,20685 / MR-351,978311,,2,,
,20686 / MR-344,978308,,2,,
,20687 / MR-330,978288,,2,,
,20688 / MR-321,978321,,2,,
,20689 / MR-311,978336,,2,,
,20690 / MR-300,978359,,2,,
,20691 / MR-154,978336,,2,,
,20692 / MR-132,978353,,2,,
,20693 / QZ-3,978337,,2,,
,20694 / QZN-22,978293,,2,,
,20695 / QZ-339,978348,,2,,
,20696 / QZ-350,978368,,2,,
,20697 / QZ-357,978372,,2,,
,20698 / QZ-370,978404,,2,,
,20699 / QZ-375,978407,,2,,
,20700 / QZ-781,978280,,2,,
,20701 / QZ-761,978306,,2,,
,20702 / QZ-750,978297,,2,,
,20703 / QZ-743,978293,,2,,
,20704 / QZ-731,978293,,2,,
,20705 / QZ-694,978312,,2,,
,20706 / QZ-683,978323,,2,,
,20707 / QZN-40,978336,,2,,
,20708 / QZ-623,978334,,2,,
,20709 / QZ-612,978352,,2,,
,20710 / QZ-601,978373,,2,,
,20711 / QZ-589,978417,,2,,
,20712 / QZ-587,978418,,2,,
,20713 / QZN-3010,978282,,2,,
,20714 / QZ-454,978262,,2,,
,20715 / QZN-509,978271,,2,,
,20716 / QZ-488,978272,,2,,
,20717 / QZ-501,978369,,2,,
,20718 / QZN-3011,978339,,2,,
,20719 / QZN-3014,978323,,2,,
,20720 / QZN-3009,978324,,2,,
,20721 / QZ-798,978321,,2,,
,20722 / QZ-812,978304,,2,,
,20723 / QZ-835,978312,,2,,
,20724 / QZ-846,978338,,2,,
,20725 / QZ-854,978355,,2,,
,20726 / QZ-865,978357,,2,,
,20727 / QZ-657,978387,,2,,
,20728 / QZ-647,978356,,2,,
,20729 / QZ-638,978372,,2,,
,20730 / QZ-418,978374,,2,,
,20731 / QZ-410,978361,,2,,
,20732 / QZ-397,978377,,2,,
,20733 / QZ-389,978376,,2,,
,20734 / QZ-546,978376,,2,,
,20735 / QZ-579,978418,,2,,
,20736 / QZ-569,978398,,2,,
,20737 / QZ-428,978366,,2,,
,20738 / QZ-529,978369,,2,,
,20739 / CN-158,978394,,2,,
,20740 / CN-150,978391,,2,,
,20741 / CN-139,978381,,2,,
,20742 / CMN-3079,978405,,2,,
,20743 / CN-128,978364,,2,,
,20744 / CN-113,978372,,2,,
,20745 / CN-97,978373,,2,,
,20746 / CN-87,978364,,2,,
,20747 / BM-5,978416,,2,,
,20748 / CMN-3084,978408,,2,,
,20749 / CN-165,978393,,2,,
,20750 / CN-168,978400,,2,,
,20751 / CN-175,978398,,2,,
,20752 / CMN-6a,978383,,2,,
,20753 / CMN-38,978341,,2,,
,20754 / CN-185,978397,,2,,
,20755 / CS-423,978372,,2,,
,20756 / CS-413,978387,,2,,
,20757 / CS-403,978385,,2,,
,20758 / CS-394,978371,,2,,
,20759 / CS-211,978332,,2,,
,20760 / CS-203,978337,,2,,
,20761 / CS-198,978339,,2,,
,20762 / CS-299,978335,,2,,
,20763 / CS-288,978344,,2,,
,20764 / CMS-3194,978326,,2,,
,20765 / CMS-96,978343,,2,,
,20766 / CS-278,978366,,2,,
,20767 / CS-274,978370,,2,,
,20768 / CS-270,978371,,2,,
,20769 / CS-305,978387,,2,,
,20770 / CMS-3272,978354,,2,,
,20771 / CS-351,978348,,2,,
,20772 / CS-238,978365,,2,,
,20773 / CS-248,978363,,2,,
,20774 / CMS-53,978363,,2,,
,20775 / CS-488,978361,,2,,
,20776 / CMS-3209,978352,,2,,
,20777 / CS-361A,978365,,2,,
,20778 / CS-256,978367,,2,,
,20779 / CS-478,978369,,2,,
,20780 / CS-469,978385,,2,,
,20781 / CS-459,978386,,2,,
,20782 / CS GS-2029,978328,,2,,
,20783 / CS-439,978340,,2,,
,20784 / CS-323,978349,,2,,
,20785 / CS-332,978339,,2,,
,20786 / CS-314,978361,,2,,
,20787 / CMS-3203,978369,,2,,
,20788 / CMS-115,978412,,2,,
,20789 / CMS-3206,978410,,2,,
,20790 / CMS-3572,978410,,2,,
,20791 / MC-42,978313,,2,,
,20792 / MC-53,978299,,2,,
,20793 / MC-62,978294,,2,,
,20794 / MC-73,978294,,2,,
,20795 / MC GS-2006,978295,,2,,
,20796 / MC-93,978306,,2,,
,20797 / MC-103,978303,,2,,
,20798 / MC-112,978310,,2,,
,20799 / MC-123,978291,,2,,
,20800 / MC-133,978303,,2,,
,20801 / MC-143,978309,,2,,
,20802 / MC-153,978331,,2,,
,20803 / MC-GS 2014,978325,,2,,
,20804 / MC-174,978327,,2,,
,20805 / MC-184,978316,,2,,
,20806 / MC-193,978320,,2,,
,20807 / MC-203,978313,,2,,
,20808 / MC-213,978304,,2,,
,20809 / MC-224,978305,,2,,
,20810 / MC-232,978304,,2,,
,20811 / MC-243,978313,,2,,
,20812 / MC-255,978308,,2,,
,20813 / PR-30,978421,,2,,
,20814 / MPV-3042,978413,,2,,
,20815 / MPV-21,978151,,2,,
,20816 / MP-57,978369,,2,,
,20817 / MP-70,978331,,2,,
,20818 / MP-18,978325,,2,,
,20819 / MP-12,978265,,2,,
,20820 / MP-3,978160,,2,,
,20821 / MP-30,978300,,2,,
,20822 / MPV-3057,978188,,2,,
,20823 / MP-51,978048,,2,,
,20824 / MPV-3(BLLM1),978248,,2,,
,20825 / MPV-13,978239,,2,,
,20826 / MPV-3124,978174,,2,,
,20827 / MPV-3122,978205,,2,,
,20828 / CNS 10,978388,,2,,
,20829 / CNS-3117,978399,,2,,
,20830 / CNS-3169,978424,,2,,
,20831 / CNS-3024,978461,,2,,
,20832 / CNS 17,978471,,2,,
,20833 / CNS-18,978470,,2,,
,20834 / CNS-19,978383,,2,,
,20835 / CNS-3025,978409,,2,,
,20836 / CNS-3017,978387,,2,,
,20837 / CNS-3022,978406,,2,,
,20838 / CNS-12,978472,,2,,
,20839 / CNS-11,978478,,2,,
,20840 / NGW-3479,978240,,2,,
,20841 / NGW-76,978285,,2,,
,20842 / NW-196,978291,,2,,
,20843 / NGW-3123,978288,,2,,
,20844 / NGW-3128,978278,,2,,
,20845 / NGW-3126,978283,,2,,
,20846 / NGW-3803,978244,,2,,
,20847 / NGW-3137,978248,,2,,
,20848 / NGW-3843,978248,,2,,
,20849 / NGW-3872,978269,,2,,
,20850 / NW-GS 2012,978152,,2,,
,20851 / NGW-67,978219,,2,,
,20852 / NGW-63,978226,,2,,
,20853 / NW GS-2015,978234,,2,,
,20854 / NW GS-2016,978275,,2,,
,20855 / NGW-3017,978284,,2,,
,20856 / NGW-45,978287,,2,,
,20857 / NGW-129,978330,,2,,
,20858 / NGW-3228,978328,,2,,
,20859 / NGW-118,978323,,2,,
,20860 / ILOG-NGW BLLM 2,978258,,2,,
,20861 / NGW-3164,978263,,2,,
,20862 / NGW-3162,978257,,2,,
,20863 / NGW-98,978260,,2,,
,20864 / NW GS-2026,978262,,2,,
,20865 / NGW-3308,978243,,2,,
,20866 / NGW-3322,978286,,2,,
,20867 / NGW-3349,978280,,2,,
,20868 / NGW-3370,978284,,2,,
,20869 / NGW-3084,978256,,2,,
,20870 / NGW-69,978242,,2,,
,20871 / BTS-3008,978838,,2,,
,20872 / BTS-3022,978825,,2,,
,20873 / BTS-3032/BLLM-2,978865,,2,,
,20874 / BTS-3015,978798,,2,,
,20875 / BTS-5,978864,,2,,
,20876 / NGE-3360(NGE95),978309,,2,,
,20877 / NGE-97,978277,,2,,
,20878 / NGE-100,978247,,2,,
,20879 / NGE-114,978232,,2,,
,20880 / NGE-118,978224,,2,,
,20881 / NGE-111,978215,,2,,
,20882 / NGE-3618,978206,,2,,
,20883 / NGE-106,978180,,2,,
,20884 / NGE-56,978172,,2,,
,20885 / NGE-58,978226,,2,,
,20886 / NGE-65,978212,,2,,
,20887 / NGE-68,978217,,2,,
,20888 / NE-GS 2013,978220,,2,,
,20889 / NE-GS 2014=,978240,,2,,
,20890 / NGE-72,978242,,2,,
,20891 / NE-GS 2016,978243,,2,,
,20892 / NGE-80,978244,,2,,
,20893 / NGE-79,978232,,2,,
,20894 / NGE-47,978259,,2,,
,20895 / NGE-85,978249,,2,,
,20896 / NGE-86,978237,,2,,
,20897 / NGE-99,978222,,2,,
,20898 / NGE-3686,978215,,2,,
,20899 / RML-7 (TAB 49),978358,,2,,
,20900 / RML 3137,978305,,2,,
,20901 / RML 5097,978309,,2,,
,20902 / RML 3167,978324,,2,,
,20903 / RML 5251,978348,,2,,
,20904 / RML 17,978363,,2,,
,20905 / RML 37,978371,,2,,
,20906 / RML 14,978352,,2,,
,20907 / RML 5129,978362,,2,,
,20908 / RML 22,978349,,2,,
,20909 / RML 5337,978367,,2,,
,20910 / RML 3003,978355,,2,,
,20911 / RML 4591,978368,,2,,
,20912 / RML 4643A,978364,,2,,
,20913 / RML 39,978347,,2,,
,20914 / RML 3007,978357,,2,,
,20915 / RML 4602,978380,,2,,
,20916 / MRW-4200,978421,,2,,
,20918 / CBU-114,978250,,2,,
,20919 / CU-286,978237,,2,,
,20920 / CBU-297,978242,,2,,
,20921 / CBU-299,978233,,2,,
,20922 / CU-322,978228,,2,,
,20923 / CBU-3634,978228,,2,,
,20924 / CBU-307,978231,,2,,
,20925 / CU-359,978234,,2,,
,20926 / CBU-313,978234,,2,,
,20927 / CU-390,978217,,2,,
,20928 / CBU-3643,978213,,2,,
,20929 / CBU-316,978222,,2,,
,20930 / CBU-222,978222,,2,,
,20931 / CU-429,978220,,2,,
,20932 / CBU-306,978229,,2,,
,20933 / CU-459,978227,,2,,
,20934 / CBU-3650,978229,,2,,
,20935 / CU-466,978234,,2,,
,20936 / CBU-301,978229,,2,,
,20937 / CBU-3011,978226,,2,,
,20938 / CU-510,978228,,2,,
,20939 / CBU-3657,978221,,2,,
,20940 / CBU-324,978274,,2,,
,20941 / CBU-3678,978267,,2,,
,20942 / CBU-3037,978261,,2,,
,20943 / CBU-3669,978259,,2,,
,20944 / CBU-3665,978270,,2,,
,20945 / CU-571,978257,,2,,
,20946 / CU-551,978244,,2,,
,20947 / CU-536,978234,,2,,
,20948 / CU-272,978253,,2,,
,20949 / CU-268,978248,,2,,
,20950 / CUGS-2034,978265,,2,,
,20951 / CBU-3688,978275,,2,,
,20952 / CBU-3692,978263,,2,,
,20953 / CU-675,978263,,2,,
,20954 / CBU-3626,978262,,2,,
,20955 / CBU-3621,978266,,2,,
,20956 / CU-703,978274,,2,,
,20957 / CBU-3617,978270,,2,,
,20958 / CUGS-2042,978261,,2,,
,20959 / CU-724,978257,,2,,
,20960 / CU-155,978261,,2,,
,20961 / CU-165,978245,,2,,
,20962 / ILO-84,978204,,2,,
,20963 / BMMS PCGS,978203,,2,,
,20964 / ILO-86,978208,,2,,
,20965 / ILO-58,978199,,2,,
,20966 / ILO-56,978201,,2,,
,20967 / ILO-4735(IL-111),978201,,2,,
,20968 / ILO-99,978212,,2,,
,20969 / ILO-3207,978218,,2,,
,20970 / ILO-59,978223,,2,,
,20971 / ILO-4015,978220,,2,,
,20972 / ILO-3214,978217,,2,,
,20973 / L 214,978181,,2,,
,20974 / ILO-63,978208,,2,,
,20975 / ILO-3208,978207,,2,,
,20976 / ILO-61,978194,,2,,
,20977 / ILO-60,978227,,2,,
,20978 / IL-312,978232,,2,,
,20979 / ILO-101,978223,,2,,
,20980 / GMS-3011,978270,,2,,
,20981 / GMS-15,978317,,2,,
,20982 / GMS-3186,978324,,2,,
,20983 / GMS-16,978275,,2,,
,20984 / GMS-12,978270,,2,,
,20985 / ILO-23,978255,,2,,
,20986 / ILO-91,978285,,2,,
,20987 / ILO-4831,978299,,2,,
,20988 / ILO-104,978319,,2,,
,20989 / ILO-3377,978332,,2,,
,20990 / ILO-20,978318,,2,,
,20991 / ILO-3261,978311,,2,,
,20992 / ILO-89,978242,,2,,
,20993 / IL-379,978243,,2,,
,20994 / IL-385,978250,,2,,
,20995 / ILO-4633,978228,,2,,
,20996 / ILO-3212,978251,,2,,
,20997 / ILO-64,978233,,2,,
,20998 / ILO-68,978244,,2,,
,20999 / ILO-31,978250,,2,,
,21000 / ILO-3503,978262,,2,,
,21001 / ILO-34,978272,,2,,
,21002 / ILO-3539,978276,,2,,
,21003 / ILO 18(BLLM 1),978295,,2,,
,21004 / IL-458,978309,,2,,
,21005 / IL-465,978307,,2,,
,21006 / ILO-3308,978315,,2,,
,21007 / ILO-3918,978305,,2,,
,21008 / ILO-98,978314,,2,,
,21009 / CPZ-4000,978313,,2,,
,21010 / CP-317,978285,,2,,
,21011 / CPZ-3018,978270,,2,,
,21012 / CPZ-3175,978228,,2,,
,21013 / CPZ-3379,978251,,2,,
,21014 / CP-261,978267,,2,,
,21015 / CPZ-3654,978253,,2,,
,21016 / CPZ-20,978267,,2,,
,21017 / CPGS-2009,978275,,2,,
,21018 / CPZ-3403,978272,,2,,
,21019 / CPZ-3162,978296,,2,,
,21020 / CPZ-3164,978314,,2,,
,21021 / CPZ-3716,978329,,2,,
,21022 / CPZ-3516,978320,,2,,
,21023 / CPZ-3166,978292,,2,,
,21024 / CPZ-14,978296,,2,,
,21025 / MSE-3252,978225,,2,,
,21026 / MSE-4351,978235,,2,,
,21027 / MSE-4534,978239,,2,,
,21028 / MSE-4362,978234,,2,,
,21029 / MSE-3057,978235,,2,,
,21030 / MSE-17,978222,,2,,
,21031 / MSE-3038,978200,,2,,
,21032 / MSE-3030,978215,,2,,
,21033 / MSE-3017,978201,,2,,
,21034 / MSE-3308,978207,,2,,
,21035 / MSE-3714,978217,,2,,
,21036 / MSE-4160,978161,,2,,
,21037 / MSE-3163,978202,,2,,
,21040 / MSE-3099,978215,,2,,
,21041 / MSE-4129,978204,,2,,
,21042 / MSE-4250,978223,,2,,
,21043 / MSE-3118,978236,,2,,
,21044 / MSE-31,978230,,2,,
,21045 / MSE-3383,978225,,2,,
,21046 / MSE-4308,978260,,2,,
,21047 / MSE-4280,978275,,2,,
,"21048 / BLLM #1, CAD 367",978173,,2,,
,21049 / MSE-3740,978194,,2,,
,21050 / MSE-3085,978226,,2,,
,21051 / MS-145,978339,,2,,
,21052 / MST-50,978321,,2,,
,21053 / MST-3036,978321,,2,,
,21054 / MST-3126,978306,,2,,
,21055 / MST-3031,978314,,2,,
,21056 / MST-3033,978325,,2,,
,21057 / MST-3114,978319,,2,,
,21058 / MST-3111,978333,,2,,
,21059 / MST-32,978343,,2,,
,21060 / MST-3360,978301,,2,,
,21061 / MST-3070,978323,,2,,
,21062 / MST-62,978349,,2,,
,21063 / MST-3094,978343,,2,,
,21064 / MST-60,978313,,2,,
,21065 / BM2-DPWH,978262,,2,,
,21066 / BM STA ANI-1,978262,,2,,
,21067 / ATQ-3124,978247,,2,,
,21068 / ATQ-3117,978209,,2,,
,21069 / ATQ-3018,978212,,2,,
,21070 / AQ-208,978206,,2,,
,21071 / ATQ-3096,978213,,2,,
,21072 / ATQ-3093,978204,,2,,
,21073 / ATQ-4126,978182,,2,,
,21074 / TGBM-3,978217,,2,,
,21075 / AQ-97,978196,,2,,
,21076 / ATQ-3069,978220,,2,,
,21077 / ATQ-3061,978234,,2,,
,21078 / ATQ-3052,978254,,2,,
,21079 / AQ-141,978272,,2,,
,21080 / ATQ-3039,978266,,2,,
,21081 / AQ-174,978283,,2,,
,21082 / ATQ-3027,978317,,2,,
,21083 / SME-3179,978406,,2,,
,21084 / SE-216,978389,,2,,
,21085 / SME-3169A/ SE-203,978397,,2,,
,21086 / SME-3161,978382,,2,,
,21087 / SME-3003,978386,,2,,
,21088 / SE-171,978394,,2,,
,21089 / SME-3137,978375,,2,,
,21090 / SME-16,978368,,2,,
,21091 / SE-123,978372,,2,,
,21092 / SME-3097,978412,,2,,
,21093 / SME-19,978377,,2,,
,21094 / SME-20,978474,,2,,
,21095 / SME-3050,978474,,2,,
,21096 / SME-3016,978368,,2,,
,21097 / SME-3073,978368,,2,,
,21098 / SME-3080,978377,,2,,
,21099 / SME-3085,978383,,2,,
,21100 / SME-3117,978383,,2,,
,21101 / SME-3114,978379,,2,,
,21102 / SE-73,978405,,2,,
,21103 / SM-398,978356,,2,,
,21104 / SMR-30,978356,,2,,
,21105 / SM-101,978359,,2,,
,21106 / SMR-10,978367,,2,,
,21107 / SMR-3241,978369,,2,,
,21108 / SMR-3017,978356,,2,,
,21109 / SMR-44,978365,,2,,
,21110 / SMR-43,978364,,2,,
,21111 / SMR-3280,978382,,2,,
,21112 / SMR-41,978386,,2,,
,21113 / SMR-3047,978371,,2,,
,21114 / SMR-3023,978366,,2,,
,21115 / SM-260,978353,,2,,
,21116 / SMR-3294,978336,,2,,
,21117 / SM-GS 2015/,978342,,2,,
,21118 / SMR-56,978342,,2,,
,21119 / SMR-58,978363,,2,,
,21120 / SM-340,978390,,2,,
,21121 / SM-333,978386,,2,,
,21123 / LAN-3140,978338,,2,,
,21124 / LYT-3162,978338,,2,,
,21125 / LYT-40(BLLM 1),978336,,2,,
,21126 / LYT-3237,978326,,2,,
,21127 / LY-148,978321,,2,,
,21128 / LYT-3234,978307,,2,,
,21129 / LYT-50(BLLM1),978307,,2,,
,21130 / BM 2,978339,,2,,
,21131 / LYT-42(BLLM1),978290,,2,,
,21132 / LYT-3276(BLLM3),978323,,2,,
,21133 / LYT-3274,978316,,2,,
,21134 / LYT-3148,978338,,2,,
,21135 / LYT-43(BLLM2),978286,,2,,
,21136 / LYT-3268,978286,,2,,
,21137 / LYT-91,978295,,2,,
,21138 / LY-175,978340,,2,,
,21139 / LYT-3146,978322,,2,,
,21140 / BLLM1 CAD 897-D,978263,,2,,
,21141 / LYT-3246,978309,,2,,
,21142 / LYT-3141,978292,,2,,
,21143 / LYT-3266,978302,,2,,
,21144 / LYT-3045,978313,,2,,
,21145 / LYT-5000,978299,,2,,
,21147 / AK-158,978315,,2,,
,21148 / AK-151,978307,,2,,
,21149 / AK-112,978306,,2,,
,21150 / AK-138,978305,,2,,
,21151 / AKN-29,978312,,2,,
,21153 / AKN-25,978271,,2,,
,21154 / AKN-27,978299,,2,,
,21155 / AKN- 4039,978306,,2,,
,21156 / AK-GS 2011,978301,,2,,
,21157 / AK-173,978280,,2,,
,21158 / AK-178,978292,,2,,
,21159 / AK-194,978286,,2,,
,21160 / AKN-4120,978301,,2,,
,21161 / AK-225,978327,,2,,
,21162 / BM-2,978332,,2,,
,21163 / AK-GS 2008,978322,,2,,
,21164 / LY-324,978287,,2,,
,21165 / LY-33,978267,,2,,
,21166 / LY-337,978270,,2,,
,21167 / LY-348,978269,,2,,
,21168 / LY-358,978281,,2,,
,21169 / LY-375,978255,,2,,
,21170 / LY-386,978259,,2,,
,21171 / LY-395,978255,,2,,
,21172 / LY-410,978256,,2,,
,21173 / LY-425,978257,,2,,
,21174 / LY-432,978240,,2,,
,21175 / LY-456,978267,,2,,
,21176 / LY-471,978267,,2,,
,21177 / LYS-15,978262,,2,,
,21178 / LYS-13,978288,,2,,
,21179 / LYS- 3036,978283,,2,,
,21180 / LY-485,978280,,2,,
,21181 / LY-493,978293,,2,Abner Belmonte,08/29/2017 0:00
,21182 / LY-502,978318,,2,,
,21183 / LY-511,978320,,2,,
,21184 / LY-522,978318,,2,,
,21185 / LY-539,978305,,2,,
,21186 / LY-676,978285,,2,,
,21187 / LY-762,978327,,2,,
,21188 / LY-742,978315,,2,,
,21189 / LY-728,978324,,2,,
