STATION_CODE,STATION_NAME,OBSERVED_VALUE,YEAR_MEASURED,ORDER,ENCODER,DATE_LAST_UPDATED
,20091 / BLN-3024,978334,,2,,
,20092 / BLN-3113,978333,,2,,
,20093 / BLN-3114,978333,,2,,
,20094 / BLGS-2027,978328,,2,,
,20095 / BLN-50,978332,,2,,
,20096 / BLN-3060,978333,,2,,
,20097 / BLN-3002,978332,,2,,
,20098 / BL-139,978364,,2,,
,20099 / BLN-59,978381,,2,,
,20100 / BLN 58,978368,,2,,
,20101 / BLN 3267,978391,,2,,
,20102 / BBM-1,978456,,2,,
,20103 / NEJ-3175,978458,,2,,
,20104 / NJGS-2007,978421,,2,,
,20105 / NJGS-2008,978458,,2,,
,20106 / NEJ-3296,978404,,2,,
,20107 / NEJ-116,978371,,2,,
,20108 / NEJ-76,978445,,2,,
,20109 / NEJ-3260,978434,,2,,
,20110 / NJGS-2013,978453,,2,,
,20111 / NEJ-3209,978448,,2,,
,20112 / NJGS-2015,978412,,2,,
,20113 / NEJ-3286,978419,,2,,
,20114 / NEJ-54,978425,,2,,
,20115 / NJGS-2018,978424,,2,,
,20116 / NJGS-2019,978424,,2,,
,20117 / NEJ-3242,978396,,2,,
,20118 / NE-3245,978383,,2,,
,20119 / NEJ-3232,978377,,2,,
,20120 / NEJ-3230,978385,,2,,
,20121 / NEJ-3000,978387,,2,,
,20122 / NEJ-3014,978382,,2,,
,20123 / NEJ-3151,978380,,2,,
,20124 / NEJ-3113,978384,,2,,
,20125 / NEJ-3146,978385,,2,,
,20126 / NEJ-127,978392,,2,,
,20128 / NEJ-3122,978420,,2,,
,20130 / NEJ-3054,978407,,2,,
,20131 / NEJ-3056,978395,,2,,
,20132 / NEJ-3034,978360,,2,,
,20133 / NEJ-3040,978354,,2,,
,20134 / NEJ-3060,978363,,2,,
,20136 / NEJ-3075,978388,,2,,
,20137 / PMG-3347,978380,,2,,
,20138 / PMG-3350,978376,,2,,
,20139 / PMG-3289,978367,,2,,
