STATION_NAME,ELEVATION_(M),DATUM,REFERENCE_TIDE_STATION,TIDAL_SERIES,Std_Dev_(+/-),ACCURACY_CLASS,ORDER_OF_ACCURACY,YEAR_SURVEYED,FIXING_METHOD,YEAR_COMPUTED_x,ENCODER,DATE_UPDATED,REFERENCE_FILE,ISLAND_GROUP,REGION,PROVINCE,CITY_or_MUNICIPALITY,BARANGAY,YEAR_ESTABLISHED,LATITUDE,LONGITUDE,DESCRIPTION,YEAR_COMPUTED_y
IL-730,27.9333,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.023411,2-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,09/16/2019 8:49:38 AM,,VISAYAS,REGION VI,ILOILO,POTOTAN,TUMCON ILAYA,2013.0,10.9431944444444,122.622111111111,"BM-IL-730 is in the Province of Iloilo, Municipality of Pototan, Brgy. Tumcon Ilaya. along Pototan-Mina-Janiuay National Road. The station is located on the top of a concrete open canal beside Kilometer post 31 and 5 meters from the road centerline.It is also 11 meters from Mark Jude a Store and 70 meters from Iglesia Ni Kristo Church. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-730, 2013, NAMRIA"".",2016.0
IL-731,29.0874,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.023038,2-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,09/16/2019 8:49:45 AM,,VISAYAS,REGION VI,ILOILO,POTOTAN,GUINACAS,2013.0,10.9443611111111,122.613194444444,"BM-IL-731 is in the Province of Iloilo, Municipality of Pototan, Brgy. Tinacas along Pototan-Mina-Janiuay National Road. The station is located atop the headwall of a box culvert,4.20 meters from the road centerline and 28 meters from Kilometer post 32.It is also 13 meters from Smart Galvanized post and 12 meters from the Lamp Post. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-731, 2013, NAMRIA"".",2016.0
IL-732,40.1184,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.022498,2-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,09/16/2019 8:50:03 AM,,VISAYAS,REGION VI,ILOILO,POTOTAN,LUMBO,2013.0,10.9424166666667,122.602722222222,"BM-IL-732 is in the Province of Iloilo, Municipality of Pototan, Brgy. Lumbo along Pototan-Mina-Janiuay National Road. The station is located on the top of the stair of Lumbo Elementary School.1.50 meters from the entrance gate and 5 meters from the road centerline.It is also 10 meters from covered court stage and 40 meters from the flagpole. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-732, 2013, NAMRIA"".",2016.0
IL-733,40.2265,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.020676,2-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,09/16/2019 8:50:10 AM,,VISAYAS,REGION VI,ILOILO,MINA,CABALABAGUAN,2013.0,10.9338611111111,122.579805555556,"BM-IL-733 is in the Province of Iloilo, Municipality of Mina, Brgy. Cabalabaguan along Pototan-Mina-Janiuay National Road. The station is located on the top of the sidewalk of Suage Bridge,40 meters from Pototan-Mina-Janiuay National road and 50 meters from Mina Public Cemetery. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-733, 2013, NAMRIA"".",2016.0
IL-734,39.718,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.019714,2-Centimeter,1st Order,2013,Differential Leveling,2016,Aila Leana Sampana,2022-02-09 09:13:12,,VISAYAS,REGION VI,ILOILO,MINA,MINA WEST,2013.0,10.9309444444444,122.571138888889,"BM-IL-734 is in the Province of Iloilo, Municipality of Mina, Brgy. West along Mina-Janiuay National Road. The station is located beside the Welcome Monument of Brgy Tolarugan,1.20 meters from the galvanized electric post and 4 meters from the road centerline.It is also 20 meters from Ahumanda residence and 170 meters from Kilometer post 734. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-734, 2013, NAMRIA"".",2016.0
IL-735,41.1183,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.018797,2-Centimeter,1st Order,2013,Differential Leveling,2016,Aila Leana Sampana,2022-02-09 09:13:20,,VISAYAS,REGION VI,ILOILO,MINA,TOLARUCAN,2013.0,10.9326944444444,122.562333333333,"BM-IL-735 is in the Province of Iloilo, Municipality of Mina, Brgy. Tolarucan along Mina-Janiuay National Road. The station is located atop the headwall of a box culvert fronting Tolarucan Daycare Center and 4.80 meters from the road centerline.. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-735, 2013, NAMRIA"".",2016.0
IL-736,44.6938,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.016434,2-Centimeter,1st Order,2013,Differential Leveling,2016,Aila Leana Sampana,2022-02-09 09:13:31,,VISAYAS,REGION VI,ILOILO,MINA,TOLARUCAN,2013.0,10.9324722222222,122.545,"BM-IL-736 is in the Province of Iloilo, Municipality of Mina, Brgy. Tolarucan along Janiuay-Mina National Road. The station is located atop the headwall of a box culvert about 75 meters from the main gate of Tolarucan Elementary School,105 meters from Kilometer post 40 and 4.70 meters from road centerline. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-736, 2013, NAMRIA"".",2016.0
IL-737,45.6413,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.015545,2-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,09/16/2019 8:50:42 AM,,VISAYAS,REGION VI,ILOILO,JANIUAY,GUADALUPE,2013.0,10.9331388888889,122.539361111111,"BM-IL-737 is in the Province of Iloilo, Municipality of Janiuay, Brgy. Guadalupe along Janiuay-Pototan National Road. The station is located atop the headwall of a box culvert ,about 70 meters from Brgy Tolarucan Welcome Monument ,55 meters from Alexis Store and 4.50 meters from the road centerline.It is also 150 meters from Kilometer post 41. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-737, 2013, NAMRIA"".",2016.0
IL-738,52.2111,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.013257,1-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,2019-12-09 09:12:39,,VISAYAS,REGION VI,ILOILO,JANIUAY,GUADALUPE,2013.0,10.9379166666667,122.528194444444,"BM-IL-738 is in the Province of Iloilo, Municipality of Janiuay, Brgy. Guadalupe along Pototan-Mina-Janiuay National Road. The station is located atop the headwall of a box culvert ,4.20 meters from the road centerline and 60 meters from Kilometer post 42.It is also 150 meters from Holy Spirit Cemetery. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-738, 2013, NAMRIA"".",2016.0
IL-739,54.9054,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.01144,1-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,2019-12-09 09:14:18,,VISAYAS,REGION VI,ILOILO,JANIUAY,GUADALUPE,2013.0,10.9408055555556,122.520916666667,"BM-IL-739 is in the Province of Iloilo, Municipality of Janiuay, Brgy. Guadalupe along Janiuay-Mina-Pototan National Road. The station is located atop the headwall of a box culvert ,4 meters from the road centerline and 3 meters from the Lamp Post.It is also 4.50 meters from the fire Hydrant,50 meters from the Basketball court and 70 meters from the Kilometer Post 43. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-739, 2013, NAMRIA"".",2016.0
